Dates,Index
Dec-02-2019,23529.5
Dec-03-2019,23379.81
Dec-04-2019,23135.23
Dec-05-2019,23300.09
Dec-06-2019,23354.4
Dec-09-2019,23430.7
Dec-10-2019,23410.19
Dec-11-2019,23391.86
Dec-12-2019,23424.81
Dec-13-2019,24023.1
Dec-16-2019,23952.35
Dec-17-2019,24066.12
Dec-18-2019,23934.43
Dec-19-2019,23864.85
Dec-20-2019,23816.63
Dec-23-2019,23821.11
Dec-24-2019,23830.58
Dec-25-2019,23782.87
Dec-26-2019,23924.92
Dec-27-2019,23837.72
Dec-30-2019,23656.62
Jan-06-2020,23204.86
Jan-07-2020,23575.72
Jan-08-2020,23204.76
Jan-09-2020,23739.87
Jan-10-2020,23850.57
Jan-14-2020,24025.17
Jan-15-2020,23916.58
Jan-16-2020,23933.13
Jan-17-2020,24041.26
Jan-20-2020,24083.51
Jan-21-2020,23864.56
Jan-22-2020,24031.35
Jan-23-2020,23795.44
Jan-24-2020,23827.18
Jan-27-2020,23343.51
Jan-28-2020,23215.71
Jan-29-2020,23379.4
Jan-30-2020,22977.75
Jan-31-2020,23205.18
Feb-03-2020,22971.94
Feb-04-2020,23084.59
Feb-05-2020,23319.56
Feb-06-2020,23873.59
Feb-07-2020,23827.98
Feb-10-2020,23685.98
Feb-12-2020,23861.21
Feb-13-2020,23827.73
Feb-14-2020,23687.59
Feb-17-2020,23523.24
Feb-18-2020,23193.8
Feb-19-2020,23400.7
Feb-20-2020,23479.15
Feb-21-2020,23386.74
Feb-25-2020,22605.41
Feb-26-2020,22426.19
Feb-27-2020,21948.23
Feb-28-2020,21142.96
Mar-02-2020,21344.08
Mar-03-2020,21082.73
Mar-04-2020,21100.06
Mar-05-2020,21329.12
Mar-06-2020,20749.75
Mar-09-2020,19698.76
Mar-10-2020,19867.12
Mar-11-2020,19416.06
Mar-12-2020,18559.63
Mar-13-2020,17431.05
Mar-16-2020,17002.04
Mar-17-2020,17011.53
Mar-18-2020,16726.55
Mar-19-2020,16552.83
Mar-23-2020,16887.78
Mar-24-2020,18092.35
Mar-25-2020,19546.63
Mar-26-2020,18664.6
Mar-27-2020,19389.43
Mar-30-2020,19084.97
Mar-31-2020,18917.01
Apr-01-2020,18065.41
Apr-02-2020,17818.72
Apr-03-2020,17820.19
Apr-06-2020,18576.3
Apr-07-2020,18950.18
Apr-08-2020,19353.24
Apr-09-2020,19345.77
Apr-10-2020,19498.5
Apr-13-2020,19043.4
Apr-14-2020,19638.81
Apr-15-2020,19550.09
Apr-16-2020,19290.2
Apr-17-2020,19897.26
Apr-20-2020,19669.12
Apr-21-2020,19280.78
Apr-22-2020,19137.95
Apr-23-2020,19429.44
Apr-24-2020,19262
Apr-27-2020,19783.22
Apr-28-2020,19771.19
Apr-30-2020,20193.69
May-01-2020,19619.35
May-07-2020,19674.77
May-08-2020,20179.09
May-11-2020,20390.66
May-12-2020,20366.48
May-13-2020,20267.05
May-14-2020,19914.78
May-15-2020,20037.47
May-18-2020,20133.73
May-19-2020,20433.45
May-20-2020,20595.15
May-21-2020,20552.31
May-22-2020,20388.16
May-25-2020,20741.65
May-26-2020,21271.17
May-27-2020,21419.23
May-28-2020,21916.31
May-29-2020,21877.89
Jun-01-2020,22062.39
Jun-02-2020,22325.61
Jun-03-2020,22613.76
Jun-04-2020,22695.74
Jun-05-2020,22863.73
Jun-08-2020,23178.1
Jun-09-2020,23091.03
Jun-10-2020,23124.95
Jun-11-2020,22472.91
Jun-12-2020,22305.48
Jun-15-2020,21530.95
Jun-16-2020,22582.21
Jun-17-2020,22455.76
Jun-18-2020,22355.46
Jun-19-2020,22478.79
Jun-22-2020,22437.27
Jun-23-2020,22549.05
Jun-24-2020,22534.32
Jun-25-2020,22259.79
Jun-26-2020,22512.08
Jun-29-2020,21995.04
Jun-30-2020,22288.14
Jul-01-2020,22121.73
Jul-02-2020,22145.96
Jul-03-2020,22306.48
Jul-06-2020,22714.44
Jul-07-2020,22614.69
Jul-08-2020,22438.65
Jul-09-2020,22529.29
Jul-10-2020,22290.81
Jul-13-2020,22784.74
Jul-14-2020,22587.01
Jul-15-2020,22945.5
Jul-16-2020,22770.36
Jul-17-2020,22696.42
Jul-20-2020,22717.48
Jul-21-2020,22884.22
Jul-22-2020,22751.61
Jul-27-2020,22715.85
Jul-28-2020,22657.38
Jul-29-2020,22397.11
Jul-30-2020,22339.23
Jul-31-2020,21710
Aug-03-2020,22195.38
Aug-04-2020,22573.66
Aug-05-2020,22514.85
Aug-06-2020,22418.15
Aug-07-2020,22329.94
Aug-11-2020,22750.24
Aug-12-2020,22843.96
Aug-13-2020,23249.61
Aug-14-2020,23289.36
Aug-17-2020,23096.75
Aug-18-2020,23051.08
Aug-19-2020,23110.61
Aug-20-2020,22880.62
Aug-21-2020,22920.3
Aug-24-2020,22985.51
Aug-25-2020,23296.77
Aug-26-2020,23290.86
Aug-27-2020,23208.86
Aug-28-2020,22882.65
Aug-31-2020,23139.76
Sep-01-2020,23138.07
Sep-02-2020,23247.15
Sep-03-2020,23465.53
Sep-04-2020,23205.43
Sep-07-2020,23089.95
Sep-08-2020,23274.13
Sep-09-2020,23032.54
Sep-10-2020,23235.47
Sep-11-2020,23406.49
Sep-14-2020,23559.3
Sep-15-2020,23454.89
Sep-16-2020,23475.53
Sep-17-2020,23319.37
Sep-18-2020,23360.3
Sep-23-2020,23346.49
Sep-24-2020,23087.82
Sep-25-2020,23204.62
Sep-28-2020,23511.62
Sep-29-2020,23539.1
Sep-30-2020,23185.12
Oct-01-2020,23184.93
Oct-02-2020,23029.9
Oct-05-2020,23312.14
Oct-06-2020,23433.73
Oct-07-2020,23422.82
Oct-08-2020,23647.07
Oct-09-2020,23619.69
Oct-12-2020,23558.69
Oct-13-2020,23601.78
Oct-14-2020,23626.73
Oct-15-2020,23507.23
Oct-16-2020,23410.63
Oct-19-2020,23671.13
Oct-20-2020,23567.04
Oct-21-2020,23639.46
Oct-22-2020,23474.27
Oct-23-2020,23516.59
Oct-26-2020,23494.34
Oct-27-2020,23485.8
Oct-28-2020,23418.51
Oct-29-2020,23331.94
Oct-30-2020,22977.13
Nov-02-2020,23295.48
Nov-04-2020,23695.23
Nov-05-2020,24105.28
Nov-06-2020,24325.23
Nov-09-2020,24839.84
Nov-10-2020,24905.59
Nov-11-2020,25349.6
Nov-12-2020,25520.88
Nov-13-2020,25385.87
Nov-16-2020,25906.93
Nov-17-2020,26014.62
Nov-18-2020,25728.14
Nov-19-2020,25634.34
Nov-20-2020,25527.37
Nov-24-2020,26165.59
Nov-25-2020,26296.86
Nov-26-2020,26537.31
Nov-27-2020,26644.71
Nov-30-2020,26433.62
Dec-01-2020,26787.54
