Dates, Index
Dec-02-2019,40802.17
Dec-03-2019,40675.45
Dec-04-2019,40850.29
Dec-05-2019,40779.59
Dec-06-2019,40445.15
Dec-09-2019,40487.43
Dec-10-2019,40239.88
Dec-11-2019,40412.57
Dec-12-2019,40581.71
Dec-13-2019,41009.71
Dec-16-2019,40938.72
Dec-17-2019,41352.17
Dec-18-2019,41558.57
Dec-19-2019,41673.92
Dec-20-2019,41681.54
Dec-23-2019,41642.66
Dec-24-2019,41461.26
Dec-26-2019,41163.76
Dec-27-2019,41575.14
Dec-30-2019,41558
Dec-31-2019,41253.74
Jan-01-2020,41306.02
Jan-02-2020,41626.64
Jan-03-2020,41464.61
Jan-06-2020,40676.63
Jan-07-2020,40869.47
Jan-08-2020,40817.74
Jan-09-2020,41452.35
Jan-10-2020,41599.72
Jan-13-2020,41859.69
Jan-14-2020,41952.63
Jan-15-2020,41872.73
Jan-16-2020,41932.56
Jan-17-2020,41945.37
Jan-20-2020,41528.91
Jan-21-2020,41323.81
Jan-22-2020,41115.38
Jan-23-2020,41386.4
Jan-24-2020,41613.19
Jan-27-2020,41155.12
Jan-28-2020,40966.86
Jan-29-2020,41198.66
Jan-30-2020,40913.82
Jan-31-2020,40723.49
Feb-03-2020,39872.31
Feb-04-2020,40789.38
Feb-05-2020,41142.66
Feb-06-2020,41306.03
Feb-07-2020,41141.85
Feb-10-2020,40979.62
Feb-11-2020,41216.14
Feb-12-2020,41565.9
Feb-13-2020,41459.79
Feb-14-2020,41257.74
Feb-17-2020,41055.69
Feb-18-2020,40894.38
Feb-19-2020,41323
Feb-20-2020,41170.12
Feb-24-2020,40363.23
Feb-25-2020,40281.2
Feb-26-2020,39888.96
Feb-27-2020,39745.66
Feb-28-2020,38297.29
Mar-02-2020,38144.02
Mar-03-2020,38623.7
Mar-04-2020,38409.48
Mar-05-2020,38470.61
Mar-06-2020,37576.62
Mar-09-2020,35634.95
Mar-11-2020,35697.4
Mar-12-2020,32778.14
Mar-13-2020,34103.48
Mar-16-2020,31390.07
Mar-17-2020,30579.09
Mar-18-2020,28869.51
Mar-19-2020,28288.23
Mar-20-2020,29915.96
Mar-23-2020,25981.24
Mar-24-2020,26674.03
Mar-25-2020,28535.78
Mar-26-2020,29946.77
Mar-27-2020,29815.59
Mar-30-2020,28440.32
Mar-31-2020,29468.49
Apr-01-2020,28265.31
Apr-03-2020,27590.95
Apr-07-2020,30067.21
Apr-08-2020,29893.96
Apr-09-2020,31159.62
Apr-13-2020,30690.02
Apr-15-2020,30379.81
Apr-16-2020,30602.61
Apr-17-2020,31588.72
Apr-20-2020,31648
Apr-21-2020,30636.71
Apr-22-2020,31379.55
Apr-23-2020,31863.08
Apr-24-2020,31327.22
Apr-27-2020,31743.08
Apr-28-2020,32114.52
Apr-29-2020,32720.16
Apr-30-2020,33717.62
May-04-2020,31715.35
May-05-2020,31453.51
May-06-2020,31685.75
May-07-2020,31443.38
May-08-2020,31642.7
May-11-2020,31561.22
May-12-2020,31371.12
May-13-2020,32008.61
May-14-2020,31122.89
May-15-2020,31097.73
May-18-2020,30028.98
May-19-2020,30196.17
May-20-2020,30818.61
May-21-2020,30932.9
May-22-2020,30672.59
May-26-2020,30609.3
May-27-2020,31605.22
May-28-2020,32200.59
May-29-2020,32424.1
Jun-01-2020,33303.52
Jun-02-2020,33825.53
Jun-03-2020,34109.54
Jun-04-2020,33980.7
Jun-05-2020,34287.24
Jun-08-2020,34370.58
Jun-09-2020,33956.69
Jun-10-2020,34247.05
Jun-11-2020,33538.37
Jun-12-2020,33780.89
Jun-15-2020,33228.8
Jun-16-2020,33605.22
Jun-17-2020,33507.92
Jun-18-2020,34208.05
Jun-19-2020,34731.73
Jun-22-2020,34911.32
Jun-23-2020,35430.43
Jun-24-2020,34868.98
Jun-25-2020,34842.1
Jun-26-2020,35171.27
Jun-29-2020,34961.52
Jun-30-2020,34915.8
Jul-01-2020,35414.45
Jul-02-2020,35843.7
Jul-03-2020,36021.42
Jul-06-2020,36487.28
Jul-07-2020,36674.52
Jul-08-2020,36329.01
Jul-09-2020,36737.69
Jul-10-2020,36594.33
Jul-13-2020,36693.69
Jul-14-2020,36033.06
Jul-15-2020,36051.81
Jul-16-2020,36471.68
Jul-17-2020,37020.14
Jul-20-2020,37418.99
Jul-21-2020,37930.33
Jul-22-2020,37871.52
Jul-23-2020,38140.47
Jul-24-2020,38128.9
Jul-27-2020,37934.73
Jul-28-2020,38492.95
Jul-29-2020,38071.13
Jul-30-2020,37736.07
Jul-31-2020,37606.89
Aug-03-2020,36939.6
Aug-04-2020,37687.91
Aug-05-2020,37663.33
Aug-06-2020,38025.45
Aug-07-2020,38040.57
Aug-10-2020,38182.08
Aug-11-2020,38407.01
Aug-12-2020,38369.63
Aug-13-2020,38310.49
Aug-14-2020,37877.34
Aug-17-2020,38050.78
Aug-18-2020,38528.32
Aug-19-2020,38614.79
Aug-20-2020,38220.39
Aug-21-2020,38434.72
Aug-24-2020,38799.08
Aug-25-2020,38843.88
Aug-26-2020,39073.92
Aug-27-2020,39113.47
Aug-28-2020,39467.31
Aug-31-2020,38628.29
Sep-01-2020,38900.8
Sep-02-2020,39086.03
Sep-03-2020,38990.94
Sep-04-2020,38357.18
Sep-07-2020,38417.23
Sep-08-2020,38365.35
Sep-09-2020,38193.92
Sep-10-2020,38840.32
Sep-11-2020,38854.55
Sep-14-2020,38756.63
Sep-15-2020,39044.35
Sep-16-2020,39302.85
Sep-17-2020,38979.85
Sep-18-2020,38845.82
Sep-21-2020,38034.14
Sep-22-2020,37734.08
Sep-23-2020,37668.42
Sep-24-2020,36553.6
Sep-25-2020,37388.66
Sep-28-2020,37981.63
Sep-29-2020,37973.22
Sep-30-2020,38067.93
Oct-01-2020,38697.05
Oct-05-2020,38973.7
Oct-06-2020,39574.57
Oct-07-2020,39878.95
Oct-08-2020,40182.67
Oct-09-2020,40509.49
Oct-12-2020,40593.8
Oct-13-2020,40625.51
Oct-14-2020,40794.74
Oct-15-2020,39728.41
Oct-16-2020,39982.98
Oct-19-2020,40431.6
Oct-20-2020,40544.37
Oct-21-2020,40707.31
Oct-22-2020,40558.49
Oct-23-2020,40685.5
Oct-26-2020,40145.5
Oct-27-2020,40522.1
Oct-28-2020,39922.46
Oct-29-2020,39749.85
Oct-30-2020,39614.07
Nov-02-2020,39757.58
Nov-03-2020,40261.13
Nov-04-2020,40616.14
Nov-05-2020,41340.16
Nov-06-2020,41893.06
Nov-09-2020,42597.43
Nov-10-2020,43277.65
Nov-11-2020,43593.67
Nov-12-2020,43357.19
Nov-13-2020,43443
Nov-14-2020,43637.98
Nov-17-2020,43952.71
Nov-18-2020,44180.05
Nov-19-2020,43599.96
Nov-20-2020,43882.25
Nov-23-2020,44077.15
Nov-24-2020,44523.02
Nov-25-2020,43828.1
Nov-26-2020,44259.74
Nov-27-2020,44149.72
Dec-01-2020,44655.44
